?s	?totalEdges
<http://purl.bioontology.org/ontology/ATC/C10AC01>	5
<http://purl.bioontology.org/ontology/ATC/C02KX01>	5
<http://purl.bioontology.org/ontology/ATC/C01EB17>	6
<http://purl.bioontology.org/ontology/ATC/C02DC01>	5
<http://purl.bioontology.org/ontology/ATC/L01EG02>	14
<http://purl.bioontology.org/ontology/ATC/L01CD01>	7
<http://purl.bioontology.org/ontology/ATC/J04AM02>	1
<http://purl.bioontology.org/ontology/ATC/N02AA01>	11
<http://purl.bioontology.org/ontology/ATC/B05XC>	4
<http://purl.bioontology.org/ontology/ATC/L01EX18>	6
<http://purl.bioontology.org/ontology/ATC/C10AA05>	8
<http://purl.bioontology.org/ontology/ATC/R03AK12>	1
<http://purl.bioontology.org/ontology/ATC/A10AE05>	2
<http://purl.bioontology.org/ontology/ATC/H02AB13>	24
<http://purl.bioontology.org/ontology/ATC/H05BX01>	4
<http://purl.bioontology.org/ontology/ATC/C09BA05>	1
<http://purl.bioontology.org/ontology/ATC/N01AX10>	4
<http://purl.bioontology.org/ontology/ATC/J05AR10>	1
<http://purl.bioontology.org/ontology/ATC/L01XY01>	1
<http://purl.bioontology.org/ontology/ATC/M01AB55>	1
<http://purl.bioontology.org/ontology/ATC/C09DB01>	2
<http://purl.bioontology.org/ontology/ATC/L03AX10>	1
<http://purl.bioontology.org/ontology/ATC/C09BA02>	1
<http://purl.bioontology.org/ontology/ATC/B01AC24>	2
<http://purl.bioontology.org/ontology/ATC/L01EA01>	4
<http://purl.bioontology.org/ontology/ATC/C03DA04>	5
<http://purl.bioontology.org/ontology/ATC/M05BA03>	5
<http://purl.bioontology.org/ontology/ATC/A10AC01>	1
<http://purl.bioontology.org/ontology/ATC/C01DX22>	3
<http://purl.bioontology.org/ontology/ATC/L01EC02>	6
<http://purl.bioontology.org/ontology/ATC/A07EC01>	6
<http://purl.bioontology.org/ontology/ATC/M05BA04>	3
<http://purl.bioontology.org/ontology/ATC/A10AE04>	2
<http://purl.bioontology.org/ontology/ATC/C10AA04>	4
<http://purl.bioontology.org/ontology/ATC/L01EM03>	2
<http://purl.bioontology.org/ontology/ATC/N03AX11>	7
<http://purl.bioontology.org/ontology/ATC/P01BA02>	6
<http://purl.bioontology.org/ontology/ATC/R03AK14>	1
<http://purl.bioontology.org/ontology/ATC/C10AA03>	8
<http://purl.bioontology.org/ontology/ATC/J07AE01>	2
<http://purl.bioontology.org/ontology/ATC/C01CA24>	7
<http://purl.bioontology.org/ontology/ATC/A12AA04>	2
<http://purl.bioontology.org/ontology/ATC/M01AH01>	3
<http://purl.bioontology.org/ontology/ATC/J01XA01>	8
<http://purl.bioontology.org/ontology/ATC/A10BX02>	3
<http://purl.bioontology.org/ontology/ATC/V03AF06>	2
<http://purl.bioontology.org/ontology/ATC/P01BC01>	1
<http://purl.bioontology.org/ontology/ATC/C08DB01>	7
<http://purl.bioontology.org/ontology/ATC/C07AA05>	27
<http://purl.bioontology.org/ontology/ATC/N03AE01>	6
<http://purl.bioontology.org/ontology/ATC/A02BD04>	2
<http://purl.bioontology.org/ontology/ATC/R03AC19>	1
<http://purl.bioontology.org/ontology/ATC/C01DA02>	12
<http://purl.bioontology.org/ontology/ATC/M01AB01>	14
<http://purl.bioontology.org/ontology/ATC/J01AA08>	16
<http://purl.bioontology.org/ontology/ATC/J05AF13>	2
<http://purl.bioontology.org/ontology/ATC/R03AL01>	2
<http://purl.bioontology.org/ontology/ATC/M03AC10>	1
<http://purl.bioontology.org/ontology/ATC/L01XX27>	4
<http://purl.bioontology.org/ontology/ATC/N06AA09>	7
<http://purl.bioontology.org/ontology/ATC/A08AB01>	4
<http://purl.bioontology.org/ontology/ATC/A10BB09>	2
<http://purl.bioontology.org/ontology/ATC/C09CA02>	2
<http://purl.bioontology.org/ontology/ATC/L01BB02>	6
<http://purl.bioontology.org/ontology/ATC/N05AA01>	5
<http://purl.bioontology.org/ontology/ATC/A10BJ03>	1
<http://purl.bioontology.org/ontology/ATC/J07BB02>	1
<http://purl.bioontology.org/ontology/ATC/H03AA01>	3
<http://purl.bioontology.org/ontology/ATC/G04CB01>	4
<http://purl.bioontology.org/ontology/ATC/L02BB03>	2
<http://purl.bioontology.org/ontology/ATC/A02AA04>	4
<http://purl.bioontology.org/ontology/ATC/J02AC03>	4
<http://purl.bioontology.org/ontology/ATC/R03AL08>	1
<http://purl.bioontology.org/ontology/ATC/J02AC04>	17
<http://purl.bioontology.org/ontology/ATC/L02BB04>	5
<http://purl.bioontology.org/ontology/ATC/J01AA01>	2
<http://purl.bioontology.org/ontology/ATC/A10BD05>	3
<http://purl.bioontology.org/ontology/ATC/J01EE01>	10
<http://purl.bioontology.org/ontology/ATC/B01AF03>	10
<http://purl.bioontology.org/ontology/ATC/H01CB02>	8
<http://purl.bioontology.org/ontology/ATC/N05CD01>	1
<http://purl.bioontology.org/ontology/ATC/C02AC01>	3
<http://purl.bioontology.org/ontology/ATC/N05CD06>	1
<http://purl.bioontology.org/ontology/ATC/A10BD02>	2
<http://purl.bioontology.org/ontology/ATC/C07BB07>	2
<http://purl.bioontology.org/ontology/ATC/J01MA02>	39
<http://purl.bioontology.org/ontology/ATC/N06AX16>	8
<http://purl.bioontology.org/ontology/ATC/C09DX03>	4
<http://purl.bioontology.org/ontology/ATC/C08CA02>	3
<http://purl.bioontology.org/ontology/ATC/A10BF01>	2
<http://purl.bioontology.org/ontology/ATC/M04AB01>	1
<http://purl.bioontology.org/ontology/ATC/R07AX02>	3
<http://purl.bioontology.org/ontology/ATC/N02BB02>	8
<http://purl.bioontology.org/ontology/ATC/C09DX04>	4
<http://purl.bioontology.org/ontology/ATC/N05CD08>	14
<http://purl.bioontology.org/ontology/ATC/C08CA05>	7
<http://purl.bioontology.org/ontology/ATC/R03AL09>	3
<http://purl.bioontology.org/ontology/ATC/A10BJ05>	3
<http://purl.bioontology.org/ontology/ATC/J07BD52>	3
<http://purl.bioontology.org/ontology/ATC/L01DC03>	4
<http://purl.bioontology.org/ontology/ATC/J02AC05>	2
