?s	?totalEdges
<http://purl.bioontology.org/ontology/ATC/C10AA04>	4
<http://purl.bioontology.org/ontology/ATC/N03AX11>	6
<http://purl.bioontology.org/ontology/ATC/P01BA02>	5
<http://purl.bioontology.org/ontology/ATC/C10AA03>	2
<http://purl.bioontology.org/ontology/ATC/J07AE01>	2
<http://purl.bioontology.org/ontology/ATC/C01CA24>	10
<http://purl.bioontology.org/ontology/ATC/A12AA04>	5
<http://purl.bioontology.org/ontology/ATC/M01AH01>	11
<http://purl.bioontology.org/ontology/ATC/A10BX02>	4
<http://purl.bioontology.org/ontology/ATC/V03AF06>	4
<http://purl.bioontology.org/ontology/ATC/P01BC01>	5
<http://purl.bioontology.org/ontology/ATC/C08DB01>	2
<http://purl.bioontology.org/ontology/ATC/C01EB16>	12
<http://purl.bioontology.org/ontology/ATC/C07AA05>	11
<http://purl.bioontology.org/ontology/ATC/N03AE01>	11
<http://purl.bioontology.org/ontology/ATC/A02BD04>	7
<http://purl.bioontology.org/ontology/ATC/C01DA02>	12
<http://purl.bioontology.org/ontology/ATC/M01AB01>	12
<http://purl.bioontology.org/ontology/ATC/J01AA08>	3
<http://purl.bioontology.org/ontology/ATC/R03AL01>	4
<http://purl.bioontology.org/ontology/ATC/M03AC10>	1
<http://purl.bioontology.org/ontology/ATC/N06AA09>	5
<http://purl.bioontology.org/ontology/ATC/A08AB01>	3
<http://purl.bioontology.org/ontology/ATC/A10BB09>	9
<http://purl.bioontology.org/ontology/ATC/C09CA02>	1
<http://purl.bioontology.org/ontology/ATC/N05AA01>	4
<http://purl.bioontology.org/ontology/ATC/R03AL06>	1
<http://purl.bioontology.org/ontology/ATC/J07BB02>	3
<http://purl.bioontology.org/ontology/ATC/H03AA01>	6
<http://purl.bioontology.org/ontology/ATC/A02AA04>	1
<http://purl.bioontology.org/ontology/ATC/J02AC03>	1
<http://purl.bioontology.org/ontology/ATC/L02BB04>	1
<http://purl.bioontology.org/ontology/ATC/J01AA01>	4
<http://purl.bioontology.org/ontology/ATC/A10BD05>	14
<http://purl.bioontology.org/ontology/ATC/J01EE01>	8
<http://purl.bioontology.org/ontology/ATC/B01AF03>	16
<http://purl.bioontology.org/ontology/ATC/N05CD01>	5
<http://purl.bioontology.org/ontology/ATC/C02AC01>	4
<http://purl.bioontology.org/ontology/ATC/N05CD06>	9
<http://purl.bioontology.org/ontology/ATC/A10BD02>	17
<http://purl.bioontology.org/ontology/ATC/C07BB07>	18
<http://purl.bioontology.org/ontology/ATC/J01MA02>	1
<http://purl.bioontology.org/ontology/ATC/C09DX03>	15
<http://purl.bioontology.org/ontology/ATC/C08CA02>	4
<http://purl.bioontology.org/ontology/ATC/A10BF01>	4
<http://purl.bioontology.org/ontology/ATC/M04AB01>	2
<http://purl.bioontology.org/ontology/ATC/N02BB02>	14
<http://purl.bioontology.org/ontology/ATC/J07BF03>	2
<http://purl.bioontology.org/ontology/ATC/C09DX04>	4
<http://purl.bioontology.org/ontology/ATC/N05CD08>	9
<http://purl.bioontology.org/ontology/ATC/C08CA05>	6
<http://purl.bioontology.org/ontology/ATC/J07BD52>	14
<http://purl.bioontology.org/ontology/ATC/L01DC03>	5
<http://purl.bioontology.org/ontology/ATC/J02AC05>	1
<http://purl.bioontology.org/ontology/ATC/J01GB03>	1
<http://purl.bioontology.org/ontology/ATC/L02BB05>	1
<http://purl.bioontology.org/ontology/ATC/L02BB02>	2
<http://purl.bioontology.org/ontology/ATC/N01BB51>	10
<http://purl.bioontology.org/ontology/ATC/J02AC02>	4
<http://purl.bioontology.org/ontology/ATC/L04AA06>	1
<http://purl.bioontology.org/ontology/ATC/N05BA11>	5
<http://purl.bioontology.org/ontology/ATC/J01FA10>	1
<http://purl.bioontology.org/ontology/ATC/J01AA07>	2
<http://purl.bioontology.org/ontology/ATC/N01BB58>	7
<http://purl.bioontology.org/ontology/ATC/C09CA03>	4
<http://purl.bioontology.org/ontology/ATC/J01EA01>	3
<http://purl.bioontology.org/ontology/ATC/G02BB01>	29
<http://purl.bioontology.org/ontology/ATC/C03AA03>	12
<http://purl.bioontology.org/ontology/ATC/C09BB10>	9
<http://purl.bioontology.org/ontology/ATC/G03HA01>	11
<http://purl.bioontology.org/ontology/ATC/C09CA04>	1
<http://purl.bioontology.org/ontology/ATC/J07BN01>	1
<http://purl.bioontology.org/ontology/ATC/N05CD09>	5
<http://purl.bioontology.org/ontology/ATC/N05AG02>	9
<http://purl.bioontology.org/ontology/ATC/N06AX21>	2
<http://purl.bioontology.org/ontology/ATC/P01AB01>	1
<http://purl.bioontology.org/ontology/ATC/N05CD07>	5
<http://purl.bioontology.org/ontology/ATC/L01XA01>	5
<http://purl.bioontology.org/ontology/ATC/V03AX04>	1
<http://purl.bioontology.org/ontology/ATC/C01AA05>	6
<http://purl.bioontology.org/ontology/ATC/J05AB14>	2
<http://purl.bioontology.org/ontology/ATC/B01AF02>	12
<http://purl.bioontology.org/ontology/ATC/C08GA02>	10
<http://purl.bioontology.org/ontology/ATC/V01AA07>	12
<http://purl.bioontology.org/ontology/ATC/A10AD01>	1
<http://purl.bioontology.org/ontology/ATC/C07AB04>	7
<http://purl.bioontology.org/ontology/ATC/J01DD04>	15
<http://purl.bioontology.org/ontology/ATC/N01BB20>	1
<http://purl.bioontology.org/ontology/ATC/S01AA12>	1
<http://purl.bioontology.org/ontology/ATC/V03AE07>	1
<http://purl.bioontology.org/ontology/ATC/J02AX04>	1
<http://purl.bioontology.org/ontology/ATC/A10AD06>	1
<http://purl.bioontology.org/ontology/ATC/A06AD65>	10
<http://purl.bioontology.org/ontology/ATC/C07AB03>	6
<http://purl.bioontology.org/ontology/ATC/L04AX04>	1
<http://purl.bioontology.org/ontology/ATC/C10AB02>	8
<http://purl.bioontology.org/ontology/ATC/G04BE30>	13
<http://purl.bioontology.org/ontology/ATC/C01BC03>	11
<http://purl.bioontology.org/ontology/ATC/G04BE08>	6
<http://purl.bioontology.org/ontology/ATC/L04AX03>	12
<http://purl.bioontology.org/ontology/ATC/A06AB02>	9
<http://purl.bioontology.org/ontology/ATC/C01BC04>	10
<http://purl.bioontology.org/ontology/ATC/G03AB03>	31
<http://purl.bioontology.org/ontology/ATC/M01AE52>	14
<http://purl.bioontology.org/ontology/ATC/C10AB05>	5
<http://purl.bioontology.org/ontology/ATC/N04BA02>	9
<http://purl.bioontology.org/ontology/ATC/C03DB02>	6
<http://purl.bioontology.org/ontology/ATC/A10BB12>	7
<http://purl.bioontology.org/ontology/ATC/B03XA02>	2
<http://purl.bioontology.org/ontology/ATC/M05BB02>	5
<http://purl.bioontology.org/ontology/ATC/M01AE01>	17
<http://purl.bioontology.org/ontology/ATC/N05BA05>	5
<http://purl.bioontology.org/ontology/ATC/J01AA13>	1
<http://purl.bioontology.org/ontology/ATC/A02BC04>	1
<http://purl.bioontology.org/ontology/ATC/B03XA05>	2
<http://purl.bioontology.org/ontology/ATC/J07AH08>	3
<http://purl.bioontology.org/ontology/ATC/J05AF01>	3
<http://purl.bioontology.org/ontology/ATC/A10AB04>	1
<http://purl.bioontology.org/ontology/ATC/L01XX35>	2
<http://purl.bioontology.org/ontology/ATC/J05AF06>	1
<http://purl.bioontology.org/ontology/ATC/C09BB04>	13
<http://purl.bioontology.org/ontology/ATC/C09DA07>	7
<http://purl.bioontology.org/ontology/ATC/V03AC02>	3
<http://purl.bioontology.org/ontology/ATC/G04BE09>	10
<http://purl.bioontology.org/ontology/ATC/L04AX02>	2
<http://purl.bioontology.org/ontology/ATC/C10AB04>	3
<http://purl.bioontology.org/ontology/ATC/N04BA03>	9
<http://purl.bioontology.org/ontology/ATC/J05AB01>	2
<http://purl.bioontology.org/ontology/ATC/A10BD11>	12
<http://purl.bioontology.org/ontology/ATC/H01BA02>	7
<http://purl.bioontology.org/ontology/ATC/L04AX05>	3
<http://purl.bioontology.org/ontology/ATC/J01XB01>	1
<http://purl.bioontology.org/ontology/ATC/N01AB08>	7
<http://purl.bioontology.org/ontology/ATC/J05AB06>	3
<http://purl.bioontology.org/ontology/ATC/C08DA01>	5
<http://purl.bioontology.org/ontology/ATC/J02AX05>	1
<http://purl.bioontology.org/ontology/ATC/C07AB02>	9
<http://purl.bioontology.org/ontology/ATC/A11CC04>	1
<http://purl.bioontology.org/ontology/ATC/A12CX>	10
<http://purl.bioontology.org/ontology/ATC/A10BD20>	12
<http://purl.bioontology.org/ontology/ATC/V03AE01>	8
<http://purl.bioontology.org/ontology/ATC/M01AA01>	18
<http://purl.bioontology.org/ontology/ATC/A11CC03>	1
<http://purl.bioontology.org/ontology/ATC/N03AF01>	8
<http://purl.bioontology.org/ontology/ATC/C01BA01>	4
<http://purl.bioontology.org/ontology/ATC/A11GA01>	1
<http://purl.bioontology.org/ontology/ATC/L02AB01>	4
<http://purl.bioontology.org/ontology/ATC/C09DA06>	8
<http://purl.bioontology.org/ontology/ATC/V03AC03>	1
<http://purl.bioontology.org/ontology/ATC/A10AB05>	1
<http://purl.bioontology.org/ontology/ATC/A02BA01>	3
<http://purl.bioontology.org/ontology/ATC/L01CA02>	5
<http://purl.bioontology.org/ontology/ATC/L01EJ02>	1
<http://purl.bioontology.org/ontology/ATC/C09BB02>	7
<http://purl.bioontology.org/ontology/ATC/C09DA01>	11
<http://purl.bioontology.org/ontology/ATC/J07AL52>	3
<http://purl.bioontology.org/ontology/ATC/N05BA04>	5
<http://purl.bioontology.org/ontology/ATC/A02BC05>	1
<http://purl.bioontology.org/ontology/ATC/J01AA12>	1
<http://purl.bioontology.org/ontology/ATC/M05BB03>	5
<http://purl.bioontology.org/ontology/ATC/C09DA08>	9
<http://purl.bioontology.org/ontology/ATC/A02BC02>	1
<http://purl.bioontology.org/ontology/ATC/J07AH07>	1
<http://purl.bioontology.org/ontology/ATC/B03XA03>	1
<http://purl.bioontology.org/ontology/ATC/G04BD10>	6
<http://purl.bioontology.org/ontology/ATC/H02AB06>	13
<http://purl.bioontology.org/ontology/ATC/J05AP54>	2
<http://purl.bioontology.org/ontology/ATC/G04CA52>	3
<http://purl.bioontology.org/ontology/ATC/A12BA30>	2
<http://purl.bioontology.org/ontology/ATC/L04AD02>	2
